currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
167,Shuyang Li,/shuyangli94,expert,35.0,2015-08-18T03:01:56.213Z,0,1,2
168,Justinas Cirtautas,/justinas,expert,35.0,2016-11-25T13:30:37.007Z,0,1,2
169,Paul,/prondeau,expert,35.0,2018-10-05T16:59:40.217Z,0,0,4
170,Deepak Deepu,/deepakdeepu8978,expert,35.0,2019-08-30T16:36:14.327Z,0,1,2
171,G_R_S,/danoozy44,expert,35.0,2019-12-02T09:06:50.983Z,0,0,6
172,Akash kumar,/singhakash,expert,34.0,2018-07-19T07:23:39.28Z,0,0,4
173,nosound,/zaharch,expert,34.0,2018-09-13T11:08:57.9Z,0,1,2
174,Ravi Chaubey,/ravichaubey1506,expert,34.0,2019-03-13T10:54:36.84Z,0,0,3
175,Abhishek,/iabhishekmaurya,expert,34.0,2019-09-20T18:54:30.243Z,0,0,3
176,Ravirajsinh Dabhi,/ravirajsinh45,expert,34.0,2019-09-22T07:48:20.56Z,0,1,2
177,Thomas Konstantin,/thomaskonstantin,expert,34.0,2020-03-17T18:13:09.623Z,0,0,4
178,ask9,/arbazkhan971,expert,33.0,2017-10-21T19:03:48.323Z,0,0,3
179,podsyp,/podsyp,expert,33.0,2018-11-01T06:07:38.407Z,0,0,6
180,Somesh Sharma,/somesh24,expert,33.0,2019-09-19T17:51:22.86Z,0,0,4
181,Frank Mollard,/frankmollard,expert,33.0,2020-01-09T09:02:02.937Z,0,0,3
182,Jai Ganesh Nagidi,/jaiganeshnagidi,expert,33.0,2020-03-10T11:08:47.967Z,0,0,3
183,Dan Ofer,/danofer,expert,32.0,2013-06-14T13:01:13.207Z,0,1,3
184,Omri Goldstein,/drgilermo,expert,32.0,2015-06-22T19:52:08.9Z,1,0,3
185,Amit Hasan Shuvo,/amithasanshuvo,expert,32.0,2018-12-31T03:00:23.447Z,0,0,3
186,Md. Redwan Karim Sony,/redwankarimsony,expert,32.0,2019-03-23T06:38:15.473Z,0,0,3
187,Fedi Ben Messaoud,/fedi1996,expert,32.0,2019-08-19T11:17:10.93Z,0,0,4
188,Rasel Ahmed,/data855,expert,32.0,2020-08-21T17:19:47.937Z,0,0,4
189,Carlos Souza,/carlossouza,expert,30.0,2017-02-16T17:42:05.187Z,0,0,3
190,Anshul Sharma,/anshuls235,expert,30.0,2017-10-11T16:03:53.01Z,0,0,4
191,Samruddhi Mhatre,/samruddhim,expert,30.0,2018-03-22T13:51:31.183Z,0,0,3
192,Niharika Pandit,/niharika41298,expert,30.0,2019-01-20T09:56:09.797Z,0,0,3
193,Alif Rahman,/alifrahman,expert,30.0,2020-01-07T16:23:59.543Z,0,0,3
194,Vitaliy Malcev,/vitaliymalcev,expert,30.0,2020-02-17T13:18:05.653Z,0,0,5
195,darth manav,/darthmanav,expert,30.0,2020-08-04T05:22:31.607Z,0,0,3
196,Shashi Prakash Tripathi,/shishu1421,expert,29.0,2017-11-12T06:08:28.627Z,0,0,3
197,ahmettezcantekin,/ahmettezcantekin,expert,29.0,2018-01-06T11:13:36.52Z,0,0,5
198,Adnan Zaidi,/adnanzaidi,expert,29.0,2018-04-03T16:02:20.18Z,0,0,3
199,Mustafa Fatakdawala,/mastmustu,expert,29.0,2018-05-21T05:42:38.563Z,0,0,3
200,milan,/milan400,expert,29.0,2018-06-15T03:42:25.17Z,0,0,3
201,Shangqiu Li,/unkownhihi,expert,29.0,2019-06-06T12:23:06.577Z,0,1,3
202,Ravi Sane,/ravisane1,expert,29.0,2020-02-23T07:11:15.06Z,0,0,3
203,Vlad Golubev,/golubev,expert,28.0,2017-09-19T09:49:27.517Z,0,0,5
204,Ulrich G.,/ulrich07,expert,28.0,2017-10-20T17:03:53.943Z,0,0,4
205,ratan rohith,/ratan123,expert,28.0,2018-02-19T13:07:11.98Z,0,0,4
206,prasoon kottarathil,/prasoonkottarathil,expert,28.0,2018-11-24T04:16:52.627Z,0,0,6
207,NJ7,/namanj27,expert,28.0,2019-09-02T18:21:42.157Z,0,0,4
208,SALMAN FAROZ,/salmanfaroz,expert,28.0,2020-07-19T08:54:01.92Z,0,0,5
209,Rishav Sharma,/rsrishav,expert,28.0,2020-08-01T13:32:37.84Z,0,0,3
210,Pranav Hari,/phiitm,expert,27.0,2017-12-04T03:13:13.267Z,0,0,4
211,Aishwarya,/aishu200023,expert,27.0,2019-03-02T04:30:46.923Z,0,0,3
212,Abu Noman Md. Sakib,/anmspro,expert,27.0,2019-04-12T05:02:07.557Z,0,0,5
213,Md Awsafur Rahman,/awsaf49,expert,27.0,2019-08-12T18:27:24.093Z,0,0,3
214,Loulou ,/louise2001,expert,27.0,2019-08-22T18:52:55.28Z,0,0,4
215,Vagif Aliyev,/vagifa,expert,27.0,2020-04-10T15:06:19.25Z,0,0,3
216,Luis Moneda,/lgmoneda,expert,26.0,2016-05-18T00:25:13.087Z,0,1,2
217,Chanran Kim,/seriousran,expert,26.0,2017-08-01T08:52:57.233Z,0,0,3
218,Kunaal Naik,/funxexcel,expert,26.0,2017-11-19T14:15:16.947Z,0,0,3
219,Abhinand,/abhinand05,expert,26.0,2018-12-08T05:05:26.34Z,0,0,4
220,Alexander Antonov,/trolukovich,expert,26.0,2019-01-05T13:34:42.903Z,0,0,3
221,Vatsal Parsaniya,/vatsalparsaniya,expert,26.0,2019-03-07T12:36:38.347Z,0,0,3
222,Pulkit Mehta,/pulkitmehtawork1985,expert,26.0,2019-03-23T04:16:47.113Z,0,0,3
223,aman2000jaiswal,/aman2000jaiswal,expert,26.0,2019-12-12T17:20:28.48Z,0,0,3
224,Gaurav Rajesh Sahani,/gauravsahani,expert,26.0,2020-04-02T04:26:34.97Z,0,0,4
225,Jeremy Howard,/jhoward,expert,25.0,2010-10-13T11:27:15Z,0,0,5
226,Liling Tan,/alvations,expert,25.0,2014-02-17T19:33:55.08Z,0,0,6
227,Daisuke Ishii,/daiearth22,expert,25.0,2016-12-25T12:37:52.893Z,0,1,4
228,Mohamed Essam,/mohammedessam97,expert,25.0,2018-03-04T12:54:02.887Z,0,0,3
229,Mathchi,/mathchi,expert,25.0,2019-09-01T15:47:01.127Z,0,0,3
230,Minnie Liang,/minnieliang,expert,25.0,2020-07-04T23:29:29.92Z,0,0,3
231,Achintya Tripathi,/achintyatripathi,expert,24.0,2019-07-02T06:20:11.927Z,0,0,3
232,Ankur Singh,/lazycoder00,expert,24.0,2020-01-23T06:11:40.17Z,0,0,4
233,Shishir Singh,/shishir349,expert,24.0,2020-04-04T10:23:25.077Z,0,0,3
234,Vikrant Singh,/vik2012kvs,expert,24.0,2020-08-01T15:18:36.67Z,0,0,4
